pid,psid,title,submit_ac,submit_all,cases,time_limit,memory_limit,owner_id
569,81,图像处理基础练习,880,3330,5,1000,65536,1028
577,81,目标检测基础,501,928,5,1000,65536,1028
574,81,深度学习卷积操作,881,1745,5,1000,65536,1028
594,84,神经网络初步构建,225,2181,13,10,4096,432
571,81,图像分类应用,889,1348,5,1000,65536,1028
565,81,图像增强技术,400,1093,5,1000,65536,1028
564,81,边缘检测算法,967,3281,5,1000,65536,1028
579,82,线性回归模型实现,250,559,13,1000,8096,4
567,81,图像分割基础,912,3078,5,1000,65536,1028
563,81,矩阵运算与图像变换,612,953,5,1000,65536,1028
606,88,聚类算法应用,274,568,18,100,40960,12
572,81,卷积神经网络实现,402,1007,6,1000,65536,1028
570,81,梯度下降优化,287,944,5,1000,65536,1028
576,81,生成对抗网络基础,430,1167,5,1000,65536,1028
562,81,图像压缩技术,488,1130,6,1000,65536,1028
573,81,迁移学习案例,861,2268,6,1000,65536,1028
566,81,边缘检测应用,566,1236,5,1000,65536,1028
568,81,自动编码器基础,366,627,5,1000,65536,1028
605,87,人工智能基础算法分析,75,287,11,100,81920,12
621,91,支持向量机分类器实现,354,1272,15,1000,262144,432
635,98,计算图优化方法,385,897,10,10000,262144,1542
631,95,梯度提升树的应用,281,685,13,1000,262144,432
640,98,队列在深度学习中的应用,36,779,10,1000,262144,1542
632,96,自然语言处理技术,59,419,20,1000,80000,4
624,92,RSA加密实现,49,450,13,10,4096,4
638,98,链表在深度学习中的实现,16,1184,10,1000,65536,1542
575,81,多任务学习技术,323,922,5,1000,65536,1028
620,90,深度学习模型训练,60,253,11,100,81920,4
628,94,卷积神经网络分类,632,3369,5,1000,65536,4
630,94,目标检测与实例分割,525,1666,6,1000,65536,4
625,93,逻辑回归模型优化,303,1056,20,1000,262144,4
636,98,强化学习在推荐系统中的应用,280,1282,10,1000,262144,1542
629,94,图像生成技术,678,1516,5,1000,65536,4
642,98,代码生成优化,7,51,20,1000,262144,4
637,98,水果价格预测的深度学习模型,240,1510,10,1000,262144,1542
634,98,几何计算与深度学习,372,908,10,1000,262144,1542
633,97,椭圆曲线点乘与密码学,54,585,13,2000,10000,4
639,98,链表在计算图中的作用,14,1136,10,1000,262144,1542
641,98,深度学习队列优化,43,818,10,1000,262144,1542
