mid,title,content,when
18,关于 WebVPN 的提示,由于技术原因，NKU-OJ 前端暂时不兼容 WebVPN。请有需要的同学使用 EasyConnect 登录本网站。,2023-04-02 12:00:00
17,2022南开大学ACM新生赛公告,2022年南开大学ACM新生赛将于2022.11.19~2022.11.25在本网站举办，望各位同学踊跃参加，具体信息请加入ACM群了解。,2022-11-18 21:26:42
16,关于题目《平均分求解》的测试点修复说明,本课程练习题《平均分求解》（位于《2 循环语句》题目集下），由于某些测试点数据问题，导致部分提交被误判为未通过，现已修复该问题，且该题目的所有提交已经重测，请已经提交过该题目的同学注意查看该题目的通过状态。,2022-10-11 21:26:42
15,部分题目格式更新,第七章的三道作业题、第八章第一题的题目输出格式现已更新，如有最终评测结果为PE的同学，请做出必要的修改后重新提交，给同学们带来的不便敬请谅解。对于作业而言，最终评测结果为PE会导致酌情扣分，还请同学们注意，以往“PE也算通过”的公告只针对竞赛方面，请同学们知悉。,2022-04-27 19:01:42
14,如遇网页异常，请先使用 Ctrl + Shift + R 或  Cmd + Shft + R 强制刷新网页试试,由于近期网站更新频繁，浏览器缓存可能版本过旧，如遇网页异常，请先使用 Ctrl + Shift + R 或  Cmd + Shft + R 强制刷新网页试试,2022-04-15 14:55:42
13,网站预计在 2022 年 4 月 10 日 23:00 至 24:00 进行维护升级,网站预计在 4 月 10 日 23:00 至 24:00 进行维护升级，届时可能将无法访问、登录或提交代码，如遇到以上情况，请同学们耐心等待。如延误工作，敬请谅解。,2022-04-10 22:44:03
12,现在可使用 https://acm.nankai.edu.cn 访问网站,OJ 的 DNS 解析已设置完成，现在可使用 https://acm.nankai.edu.cn 访问网站了，校外也可以使用南开大学 webvpn 服务访问。,2022-04-07 18:19:32
11,关于 NKUOJ 的 FAQ,"一、编译器及编译选项？
C:
  gcc version 8.3.1 20190311 (Red Hat 8.3.1-3) (GCC)
  Thread model: posix
  
  args:
    -DONLINE_JUDGE -lpthread -O2 -static -std=c11 -fno-asm -Wall -Wextra

C++:
  gcc version 8.3.1 20190311 (Red Hat 8.3.1-3) (GCC)
  Thread model: posix
  
  args:
    -DONLINE_JUDGE -pthread -O2 -static -std=c++14 -fno-asm -Wall -Wextra

Javascript:
  V8 version 7.5.0 (candidate)

Python:
  Python 3.6.12
  
  args:
    -OO
  
Go:
  go version go1.16.13 linux/amd64
  
  args:
    build

Pypy3:
  Python 3.6.1 (de061d87e39c7df4e436974096d7982c676a859d, Mar 30 2019, 17:35:04)
  [PyPy 7.1.0-beta0 with GCC 8.2.1 20180905 (Red Hat 8.2.1-3)]

  args:
    -OO

二、评测状态有哪些？
RU - Running - 运行中
CE - Compile Error - 编译错误
WA - Wrong Answer - 答案错误
RE - Runtime Error - 运行错误
MLE - Memory Limit Exceeded - 内存超限
TLE - Time Limit Exceeded - 时间超限
OLE - Output Limit Exceeded - 输出超限
AC - Accepted - 答案正确
PE - Presentation Error - 格式错误
CI - Compiling - 正在编译
HD - Hiding - 隐藏
----------内部状态----------
FL - 函数调用不合法
DM - 多组数据
SE - 未知错误

三、评测结果 答案正确* 后为什么有星号？
答案正确* 表示存在数据点通过了答案检查但没有通过格式检查，判定格式错误 (Presentation Error)，比如行末多了换行符、空格不匹配等。OJ 会判定得分，但实际得分以还请以课程要求为准，可能酌情扣分。

四、页面为什么有奇怪的问题 / 和别人的页面功能不一样？
请先使用 Control + Shift + R 或 Command + Shift + R 强制刷新网页试试。

五、为什么得到了 Runtime Error？
许多状况都可能触发 RE，最常见的情况是指针越界。不过由于评测机的历史遗留问题，静态数组超过内存限制可能不会返回 MLE 而是 RE。

六、为什么得到了 Memory Limit Exceeded？
触发 MLE 显然是内存超限了。不过由于评测机的历史遗留问题，某些库函数的异常 (RE) 也有可能会体现为 MLE，比如尝试 cout 奇怪的内容。
",3022-04-04 20:45:29
10,2022.4.4 OJ系统维护公告,由于OJ系统今日出现的问题，开发人员预计在今日的某些时间段对系统进行维护，届时可能将无法访问、登录或提交代码，如遇到以上情况，请同学们耐心等待。如延误工作，敬请谅解。,2022-04-04 16:10:14
9,关于从 4144 号提交至 4251 号提交的链接错误,经排查是文件描述符泄露问题，与评测代码无关，现已修复,2022-04-04 15:44:44
8,关于部分评测结果出现答案正确但分数非满分的情况,评测结果请以分数为准，非满分即为答案错误，后台已经修复完成，从现在起评测结果无误，对于之前错误的评测结果，届时将安排重测。,2022-04-01 14:22:49
7,关于评测结果 答案正确* 的星号,答案正确* 表示存在数据点通过了答案检查但没有通过格式检查，判定格式错误 (Presentation Error)，比如行末多了换行符、空格不匹配等。OJ 会判定得分，但实际得分以还请以课程要求为准，可能酌情扣分。,2022-03-15 15:23:14
6,aaaa,aaaa,2022-03-15 19:30:30
5,www,www,2022-03-15 19:29:44
4,关于算法导论第一次作业的说明,由于还有同学未加入算法导论课程，可能会出现晚加入的同学接收不到作业的情况，所以第一次作业会发布到公共题库中，4月1日再移动到课程作业中且保留提交结果，请大家先前往公共题库提交。,2022-03-15 13:28:07
3,关于算法导论第一次作业的说明,由于还有同学未加入算法导论课程，可能会出现晚加入的同学接收不到作业的情况，所以第一次作业会发布到公共题库中，4月1日再移动到课程作业中且保留提交结果，请大家先前往公共题库提交。,2022-03-15 13:28:07
2,请同学们尽快加入课程,晚加入的同学如果接收不到已发布的作业请自行联系老师。,2022-03-15 13:28:07
1,system,system,2000-01-01 08:00:01
